station,line,closed,type_of_closure,current_condition,details,coordinates,image
Aldgate East,District,30-Oct-38,Station resited,Demolished,Closed when the current station was opened a short distance to the east to enable the Aldgate junction to be rebuilt.,51.5152 -0.0722,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Aldgate_East_stn_northeast_building.JPG/240px-Aldgate_East_stn_northeast_building.JPG
Aldwych,Piccadilly,30-Sep-94,Station and route closed,Building remains and platforms sometimes used for cinematic purposes,Terminus of Piccadilly line branch line from Holborn; closed due to low passenger numbers and cost of replacing lifts.,51.51215 -0.11595,http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Aldwych_tube_station_1.jpg/161px-Aldwych_tube_station_1.jpg
Aylesbury,Metropolitan,10-Sep-61,Service withdrawn,Operated by National Rail,The service was cut back to Amersham when electric locomotive-hauled trains were replaced with A60 Stock trains.,51.813903 -0.815102,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Aylesbury_railway_station_1.jpg/265px-Aylesbury_railway_station_1.jpg
Blake Hall,Central,31-Oct-81,Station and route closed,Building remains as private residence,Closed due to low passenger numbers.,51.71134 0.20444,http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Blake_Hall_station.jpg/265px-Blake_Hall_station.jpg
Brill,Metropolitan,30-Nov-35,Station and route closed,Demolished,Closed when Brill branch was closed due to very low passenger numbers.,51.8323 -1.0482,http://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Brill_station.jpg/270px-Brill_station.jpg
British Museum,Central,24-Sep-33,Station closed,Demolished,Closed when Central line platforms were opened at Holborn.,51.51750 -0.12278,http://upload.wikimedia.org/wikipedia/commons/6/6c/British_museum_tube_stn_map.png
Brompton Road,Piccadilly,29-Jul-34,Station closed,"Mostly demolished, side elevation remains",Closed due to low passenger numbers and creation of a new entrance to Knightsbridge station.,51.4971 -0.1689,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Brompton_Road_Sept_2000.jpg/240px-Brompton_Road_Sept_2000.jpg
Bushey,Bakerloo,24-Sep-82,Service withdrawn,Operated by National Rail,Former peak hours only service withdrawn to save money following cancellation of Greater London Council's Fares Fair policy.,51.644 -0.385,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Bushey_station_east_building.JPG/240px-Bushey_station_east_building.JPG
Carpenders Park,Bakerloo,24-Sep-82,Service withdrawn,Operated by National Rail,Former peak hours only service withdrawn to save money following cancellation of Greater London Council's Fares Fair policy.,51.629 -0.386,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Carpendarspark999.JPG/240px-Carpendarspark999.JPG
Castle Hill (Ealing Dean),District,30 September 1885,Service withdrawn,Operated by National Rail,The Windsor service was cut back to Ealing Broadway due to low passenger numbers. It is now West Ealing station.,51.5137 -0.3203,http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/West_Ealing_stn_building.JPG/240px-West_Ealing_stn_building.JPG
Charing Cross,Jubilee,19-Nov-99,Partial,Remainder of station in use,Two platforms are still functional but were removed from public use when the Jubilee line extension to Stratford was opened in 1999.,51.508 -0.12475,http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/CharingCrossTubeSign.jpg/240px-CharingCrossTubeSign.jpg
City Road,Northern,08-Aug-22,Station closed,"Mostly demolished, ventilation tower remains",Closed due to low passenger numbers.,51.52972 -0.09750,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/City-road-former-tube-stn.jpg/250px-City-road-former-tube-stn.jpg
Down Street,Piccadilly,21-May-32,Station closed,Building remains,Closed due to low passenger numbers when entrances to Green Park and Hyde Park Corner were moved closer to its location.,51.50444 -0.14750,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Down_Street_tube_station_2011.jpg/300px-Down_Street_tube_station_2011.jpg
Drayton Park,Northern,16-Aug-76,"Service withdrawn, transferred to National Rail",Operated by National Rail,Former Northern line Highbury Branch between Moorgate and Finsbury Park converted to main line operation.,51.5528 -0.1055,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Drayton_Park_stn_building.JPG/240px-Drayton_Park_stn_building.JPG
Earl's Court,District,31 January 1878,Station resited,Demolished,Original station closed when the current station opened to the west.,51.4913 -0.1947,http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Earl%27s_Court_stn_eastern_entrance.JPG/240px-Earl%27s_Court_stn_eastern_entrance.JPG
Essex Road,Northern,16-Aug-76,"Service withdrawn, transferred to National Rail",Operated by National Rail,Former Northern line Highbury Branch between Moorgate and Finsbury Park converted to main line operation.,51.5406 -0.0963,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Essex_Road_stn_building.JPG/240px-Essex_Road_stn_building.JPG
